dataset	task_id	class_ids	train_samples	dev_samples	test_samples	train_sha256	dev_sha256	test_sha256
clinc150	0	38,39,40,61,63,75,109,130,133,134	1000	0	300	a25579c5a8c1f708c0034e8c902e836210c83f73226a657d01ef14f8a98da76e	N/A	e7376751b0cbdd4b5829dcbadf9c70d6ba423b15a0c2e2c56a4e44f1c3d37dd4
clinc150	1	0,18,30,32,65,83,85,95,131,141	1000	0	300	21cedbf269c6e94b03b9c97e934b6c0b7086e5f065bb9cdec8490100a903ceac	N/A	935cb01dbd1721bdfabd3f05906fe3c565697be8ff8b5c4152a889b2d8c5aa7e
clinc150	2	3,53,72,92,119,123,127,128,132,136	1000	0	300	6566a9507cdde49df9f2958bae60e77a82ee6968bb6a6eb9bd3ca79b81746ab8	N/A	9cbe1ac5c750f7831294099a665c5db28da8207a806250f1d84b205a7a0a9506
clinc150	3	42,60,66,67,86,110,116,118,137,146	1000	0	300	5ac8ab1f325a064058e80bb6ef01158ec2494100e7d4fcd8ac3eb9db180c9432	N/A	83fb311fa4695e6e4c6d50333d10e39709a9ca9222d780ac66d5eb9fcfede77c
clinc150	4	16,49,64,81,88,91,98,101,104,145	1000	0	300	38921881d25355efbdeb0c69fbef83fd9e5a876cecb2e8186f5028c63d33f454	N/A	12deb0d79faecd1c633aee2067e468d1504375f91a37b5ec82afd99bc7fa6a90
clinc150	5	4,17,25,36,51,69,76,96,115,122	1000	0	300	08777ffee5ae156584f5ff1f68762a0a2f6880676446eb7ee1f192c09d2fe653	N/A	6034796de8488cecf2a6928a1dccf023fe1a961ef159a18e8094bddbe48c7e00
clinc150	6	2,14,41,52,74,78,82,135,138,149	1000	0	300	5db3e6894d4740a328a31bb6c755eed40b95e5f7c0ae2f392acc52abed4c4b73	N/A	dedd95a3fb06107b5c7577b174c19a04c1991b1e7c94cfc92db1d47ac142b6b7
clinc150	7	9,21,31,34,47,94,102,111,124,143	1000	0	300	46f161099a03c306d0af4ed25317b2e5a522304574d3c6a147c97c8da0f90e30	N/A	5d7ae802c2d0256079af3bc6367dbc783c883da57cfa0b1c3230d2a028cb6d78
clinc150	8	29,84,87,99,100,105,106,112,117,120	1000	0	300	992ecafc9dcc311af6923b2a5c1d1d0ea1e1b61841453f40ba67b4c08a2a21f8	N/A	ace4fe79cca84fa63c16708c61278bca0f1165491b382e02c89b69e304b7651a
clinc150	9	10,24,37,46,73,79,80,90,142,147	1000	0	300	75fb90e5d1cf1789616d8f5089e70680d61d2d45b940a5ee51692c23b4a5ed6b	N/A	fa89433d05765cbd43402c7c0dfb6baa942ab771413bef09bfdc49f6f4906dd4
clinc150	10	5,15,33,44,58,68,77,93,113,125	1000	0	300	0d3c4d28ab0e42610bef3967a7e1bc8300ba6dabb0c5ee63fac465878f1bd7f1	N/A	9a77d7db82b9d8b29429574eb82176826af6976d4a1d6c500872a53232060d52
clinc150	11	11,12,13,19,27,45,48,121,126,140	1000	0	300	e8163d60ec019660357e37d1e0d861cc4fc467527f8a89c2a0da11003e19abb3	N/A	0bab1ad21c3c2ceecc50a0e0fb72e62a10a54011e7c5d61887854ff47374cbdd
